image_name,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50
258.png,-1313.0,-1650.5,-1885.875,-2090.75,-2199.75,-2321.0625,-2404.6875,-2469.125,-2523.5625,-2568.78125,-2617.21875,-2665.8125,-2710.65625,-2752.125,-2797.1875,-2843.40625,-2886.84375,-2932.3125,-2974.34375,-3010.28125,-3044.28125,-3074.3125,-3098.734375,-3120.578125,-3141.953125,-3162.21875,-3179.96875,-3196.484375,-3213.4375,-3228.796875,-3243.6484375,-3258.40625,-3272.8125,-3286.25,-3299.234375,-3312.0703125,-3324.765625,-3336.859375,-3347.890625,-3358.4921875,-3368.78125,-3379.0,-3389.0234375,-3398.9140625,-3408.296875,-3418.3125,-3429.1796875,-3442.5,-3462.875,-3470.0078125
259.png,-1333.0,-1562.125,-1825.875,-2104.125,-2308.0,-2459.125,-2588.75,-2668.8125,-2725.4375,-2768.53125,-2804.3125,-2836.9375,-2874.3125,-2903.875,-2930.421875,-2959.90625,-2989.4375,-3019.078125,-3046.421875,-3073.3125,-3100.234375,-3127.234375,-3153.515625,-3178.546875,-3201.96875,-3224.9375,-3246.109375,-3265.875,-3284.140625,-3301.328125,-3316.90625,-3331.7734375,-3345.3359375,-3358.5,-3371.6953125,-3384.7578125,-3397.921875,-3410.3046875,-3422.078125,-3433.2734375,-3444.84375,-3456.6953125,-3467.265625,-3477.40625,-3487.6640625,-3498.5859375,-3510.875,-3524.8359375,-3547.6640625,-3554.72265625
260.png,-610.5,-987.25,-1112.0,-1257.5,-1420.5,-1532.0,-1621.125,-1721.0,-1780.34375,-1832.28125,-1881.8125,-1926.6875,-1971.5,-2012.1875,-2051.3125,-2084.3125,-2118.90625,-2150.890625,-2179.546875,-2209.609375,-2238.296875,-2271.109375,-2297.6875,-2322.765625,-2346.15625,-2371.515625,-2394.90625,-2418.0,-2436.765625,-2452.859375,-2468.6171875,-2482.6484375,-2495.890625,-2509.34375,-2522.4140625,-2534.609375,-2546.6875,-2558.6875,-2570.375,-2581.953125,-2593.6953125,-2605.3515625,-2616.3984375,-2627.4296875,-2638.1875,-2649.3359375,-2661.875,-2677.1328125,-2703.2265625,-2711.484375
261.png,-1016.0,-1607.5,-1964.75,-2116.5,-2243.0,-2357.75,-2458.25,-2552.625,-2643.5,-2703.21875,-2755.09375,-2804.9375,-2863.03125,-2917.4375,-2968.375,-3020.34375,-3066.34375,-3109.96875,-3153.40625,-3198.71875,-3244.90625,-3284.6875,-3324.5,-3359.46875,-3390.9375,-3421.390625,-3448.171875,-3475.234375,-3501.0,-3526.546875,-3551.421875,-3576.125,-3599.171875,-3621.0625,-3642.890625,-3664.65625,-3685.890625,-3707.5,-3729.203125,-3751.28125,-3772.8125,-3794.390625,-3815.609375,-3836.75,-3857.078125,-3878.125,-3899.859375,-3925.265625,-3961.328125,-3968.9921875
262.png,-465.0,-950.0,-1086.375,-1211.0625,-1330.9375,-1415.625,-1496.125,-1567.5,-1636.125,-1707.1875,-1785.375,-1849.15625,-1913.65625,-1965.4375,-2010.71875,-2053.59375,-2097.78125,-2138.09375,-2179.9375,-2217.71875,-2250.34375,-2281.984375,-2312.9375,-2344.90625,-2373.265625,-2399.71875,-2426.359375,-2451.015625,-2473.40625,-2495.609375,-2516.65625,-2537.25,-2557.84375,-2578.265625,-2596.8125,-2615.21875,-2633.484375,-2650.71875,-2667.90625,-2684.703125,-2701.578125,-2718.3125,-2734.484375,-2751.015625,-2767.109375,-2784.671875,-2803.328125,-2825.0625,-2857.34375,-2864.87890625
263.png,-600.0,-1333.5,-1602.5,-1760.625,-1906.125,-2055.125,-2168.9375,-2259.375,-2334.9375,-2427.5,-2508.8125,-2596.9375,-2670.625,-2744.375,-2798.125,-2853.53125,-2908.75,-2957.125,-3000.5625,-3042.375,-3081.75,-3122.4375,-3161.46875,-3198.40625,-3231.4375,-3263.71875,-3296.03125,-3327.234375,-3357.03125,-3385.234375,-3411.375,-3436.53125,-3461.4375,-3485.0,-3507.90625,-3529.59375,-3549.78125,-3570.5625,-3589.578125,-3608.0,-3625.796875,-3645.90625,-3664.9375,-3683.46875,-3701.703125,-3721.234375,-3742.359375,-3766.921875,-3804.421875,-3812.5234375
264.png,-429.0,-854.75,-1176.0,-1443.25,-1649.5,-1847.75,-1994.125,-2080.375,-2158.3125,-2235.4375,-2287.84375,-2340.59375,-2393.875,-2447.375,-2493.5,-2535.75,-2576.125,-2614.46875,-2652.28125,-2692.125,-2727.84375,-2761.75,-2795.0625,-2829.84375,-2862.75,-2893.96875,-2925.59375,-2960.125,-2992.78125,-3027.28125,-3058.546875,-3088.421875,-3115.703125,-3141.640625,-3166.21875,-3190.78125,-3212.0625,-3233.09375,-3253.859375,-3273.390625,-3292.265625,-3311.484375,-3330.265625,-3348.046875,-3365.875,-3383.875,-3403.140625,-3426.375,-3461.0625,-3468.875
265.png,-429.0,-776.25,-969.375,-1186.875,-1353.0,-1527.75,-1673.375,-1808.625,-1926.4375,-2038.1875,-2166.8125,-2315.6875,-2453.5625,-2555.0,-2631.0625,-2687.5,-2733.0,-2778.53125,-2811.3125,-2841.75,-2868.375,-2896.34375,-2926.46875,-2956.546875,-2983.109375,-3009.21875,-3033.484375,-3057.65625,-3083.3125,-3108.53125,-3134.640625,-3159.828125,-3183.890625,-3205.921875,-3226.78125,-3247.78125,-3268.546875,-3288.4375,-3308.5625,-3328.109375,-3347.34375,-3366.28125,-3384.328125,-3402.328125,-3419.953125,-3438.015625,-3457.234375,-3478.859375,-3510.859375,-3519.109375
266.png,-652.0,-1236.0,-1517.25,-1849.5,-2138.25,-2512.0,-2822.25,-2992.75,-3075.6875,-3161.5,-3220.03125,-3264.1875,-3307.0,-3347.0625,-3390.125,-3430.125,-3473.125,-3508.1875,-3545.0625,-3578.46875,-3607.796875,-3638.53125,-3667.734375,-3698.125,-3724.765625,-3754.46875,-3783.109375,-3811.609375,-3837.671875,-3862.6875,-3887.53125,-3910.34375,-3932.171875,-3954.015625,-3977.40625,-4001.84375,-4024.90625,-4047.515625,-4068.3125,-4090.109375,-4109.90625,-4130.609375,-4150.53125,-4170.8125,-4191.28125,-4213.296875,-4236.125,-4262.3125,-4300.40625,-4308.4140625
267.png,-610.0,-958.0,-1269.25,-1508.5,-1638.125,-1749.375,-1836.6875,-1935.0,-2029.4375,-2110.875,-2188.9375,-2265.625,-2330.0625,-2386.9375,-2443.90625,-2488.3125,-2528.5625,-2568.0625,-2610.09375,-2645.5625,-2682.59375,-2715.3125,-2744.828125,-2773.546875,-2799.375,-2824.078125,-2847.421875,-2868.265625,-2887.921875,-2907.953125,-2926.734375,-2945.609375,-2963.96875,-2979.5,-2994.125,-3007.8359375,-3020.5,-3032.1875,-3043.4296875,-3054.46875,-3064.7734375,-3075.078125,-3084.953125,-3095.125,-3104.5,-3113.8515625,-3123.1875,-3133.75,-3149.4765625,-3154.86328125
